  PID TTY      STAT   TIME COMMAND
 2555 ?        Sl     0:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
 2558 ?        Sl     0:01 /usr/lib/udisks2/udisksd --no-debug
 2561 ?        Ssl    0:08 /home/no-one/.dropbox-dist/dropbox-lnx.x86_64-3.12.5/dropbox
 2585 ?        S      0:00 /usr/lib/x86_64-linux-gnu/gconf/gconfd-2
 2586 ?        Sl     0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
 2591 ?        Sl     0:00 /usr/lib/geoclue/geoclue-master
 2596 ?        Sl     0:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
 2605 ?        Sl     0:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
 2613 ?        S      0:00 gnome-pty-helper
 2626 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.6 /org/gtk/gvfs/exec_spaw/0
 2645 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-burn --spawner :1.6 /org/gtk/gvfs/exec_spaw/1
 2664 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-metadata
 2770 ?        Sl     0:00 telepathy-indicator
 2776 ?        Sl     0:00 /usr/lib/telepathy/mission-control-5
 2793 ?        Sl     0:00 zeitgeist-datahub
 2798 ?        Sl     0:00 /usr/bin/zeitgeist-daemon
 2804 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/zeitgeist-fts
 2806 ?        S      0:00 /bin/cat
 2835 ?        SLl    8:57 /opt/google/chrome/chrome    
 2844 ?        S      0:00 cat
 2845 ?        S      0:00 cat
 2848 ?        S      0:00 /opt/google/chrome/chrome --type=zygote
 2851 ?        S      0:00 /opt/google/chrome/nacl_helper
 2854 ?        S      0:00 /opt/google/chrome/chrome --type=zygote
 2940 ?        Sl     0:18 /opt/google/chrome/chrome --type=renderer --lang=pl --force-fieldtrials=AffiliationBasedMatching/Enabled/AppBannerTriggering/Aggressive/AudioProcessing48kHzSupport/Default/CaptivePor
 2945 ?        Sl     2:37 /opt/google/chrome/chrome --type=gpu-process --channel=2835.2.2123552773 --supports-dual-gpus=false --gpu-driver-bug-workarounds=2,3,12,18,20,32,35,48,51,61,63 --disable-accelerated-
 2951 ?        Sl     0:01 /opt/google/chrome/chrome --type=renderer --lang=pl --force-fieldtrials=AffiliationBasedMatching/Enabled/AppBannerTriggering/Aggressive/AudioProcessing48kHzSupport/Default/CaptivePor
 2972 ?        Sl     4:56 /opt/google/chrome/chrome --type=renderer --lang=pl --force-fieldtrials=AffiliationBasedMatching/Enabled/AppBannerTriggering/Aggressive/AudioProcessing48kHzSupport/Default/CaptivePor
 2977 ?        S      0:00 /opt/google/chrome/chrome --type=gpu-broker                                                                                                                                           
 2980 ?        Sl     2:49 /opt/google/chrome/chrome --type=renderer --lang=pl --force-fieldtrials=AffiliationBasedMatching/Enabled/AppBannerTriggering/Aggressive/AudioProcessing48kHzSupport/Default/CaptivePor
 3067 ?        Sl     0:15 /opt/google/chrome/chrome --type=renderer --lang=pl --force-fieldtrials=AffiliationBasedMatching/Enabled/AppBannerTriggering/Aggressive/AudioProcessing48kHzSupport/Default/CaptivePor
 3120 ?        Sl     0:05 /opt/google/chrome/chrome --type=renderer --lang=pl --force-fieldtrials=AffiliationBasedMatching/Enabled/AppBannerTriggering/Aggressive/AudioProcessing48kHzSupport/Default/CaptivePor
 3161 ?        Sl     0:00 /opt/google/chrome/chrome --type=renderer --lang=pl --force-fieldtrials=*AffiliationBasedMatching/Enabled/AppBannerTriggering/Aggressive/AudioProcessing48kHzSupport/Default/CaptivePo
 3284 ?        Sl     0:00 update-notifier
 3385 ?        Sl    21:55 /opt/google/chrome/chrome --type=renderer --lang=pl --force-fieldtrials=*AffiliationBasedMatching/Enabled/AppBannerTriggering/Aggressive/AudioProcessing48kHzSupport/Default/CaptivePo
 3520 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor
 3546 ?        Sl     0:02 /opt/google/chrome/chrome --type=renderer --lang=pl --force-fieldtrials=*AffiliationBasedMatching/Enabled/AppBannerTriggering/Aggressive/AudioProcessing48kHzSupport/Default/CaptivePo
 4170 ?        S      0:05 [kworker/3:2]
 4313 pts/3    Ss     0:00 /bin/bash
 5153 ?        Sl     0:54 /opt/google/chrome/chrome --type=renderer --lang=pl --force-fieldtrials=*AffiliationBasedMatching/Enabled/AppBannerTriggering/Aggressive/AudioProcessing48kHzSupport/Default/CaptivePo
 6087 ?        Ss     0:00 /sbin/wpa_supplicant -B -P /run/sendsigs.omit.d/wpasupplicant.pid -u -s -O /var/run/wpa_supplicant
 6104 ?        S      0:00 /sbin/dhclient -d -sf /usr/lib/NetworkManager/nm-dhcp-client.action -pf /run/sendsigs.omit.d/network-manager.dhclient-wlan0.pid -lf /var/lib/NetworkManager/dhclient-a4c2ab2a-5c6e-424
